wellName;datasetName;DEPTH;BOREHOLE_AZIMUTH_GN;BOREHOLE_DEVIATION;GR;LIT;RACHM;RACLM;RACSHM;RACSLM;ROP_AVG;RPCHM;RPCLM;RPCSHM;RPCSLM;RPTH1M;RPTHM;TCDM;TVD;TVDSS
;;m;°;°;API;unitless;ohm.m;ohm.m;ohm.m;ohm.m;m/hr;ohm.m;ohm.m;ohm.m;ohm.m;hr;min;degC;m;m
fff30GS;42230GS;3275,4;-9999;77,1215840178398;61,4;-9999;6008,312;0,795;0,05;-0,041;12,94;61625,289;0,188;0,180999994277954;0,197999998927116;;1,1;79;2645,44;2591,2
fff30GS;42230GS;3275,5;-9999;77,1340301112592;59,93;-9999;6008,312;0,857;0,049;-0,043;15,17;61625,289;22260,049;0,190999999642372;0,190999999642372;;1,1;79;2645,47;2591,23
fff30GS;42230GS;3275,6;-9999;77,1464762287721;58,78;-9999;6008,312;0,495;0,049;-0,043;16,17;61625,289;0,659;0,207000002264977;0,188999995589256;;1,1;79;2645,49;2591,25
fff30GS;42230GS;3275,7;-9999;77,1589223703521;59,69;-9999;6008,312;0,505;0,049;-0,044;18,31;61625,289;22260,07;0,199000000953674;0,187000006437302;;1,1;79;2645,52;2591,28
fff30GS;42230GS;3275,8;-9999;77,1713685359726;59,59;-9999;6008,312;0,229;0,049;-0,045;19,08;61625,289;0,357;0,207000002264977;0,174999997019768;;1,1;78,9;2645,55;2591,31
fff30GS;42230GS;3275,9;-9999;77,1838147256073;59,69;-9999;6008,312;1,04;0,05;-0,046;19,26;61625,289;0,085;0,179000005125999;0,188999995589256;;1,1;78,9;2645,57;2591,33
fff30GS;42230GS;3276;-9999;77,1962609392295;64,57;-9999;6008,312;0,534;0,049;-0,044;18,83;61625,289;0,164;0,209999993443489;0,194000005722046;;1,1;78,9;2645,6;2591,36
fff30GS;42230GS;3276,1;-9999;77,2087071768129;65,69;-9999;6008,312;0,669;0,05;-0,043;18,97;61625,289;14840,098;0,165999993681908;0,19200000166893;;1,1;78,9;2645,63;2591,39
fff30GS;42230GS;3276,2;-9999;77,221153438331;64,55;-9999;6008,312;0,984;0,05;-0,043;19,01;61625,289;22273,339;0,171000003814697;0,19200000166893;;1,1;78,9;2645,65;2591,41
fff30GS;42230GS;3276,3;-9999;77,2335997237575;60,21;-9999;6008,312;0,745;0,05;-0,043;19,29;61625,289;0,074;0,180000007152557;0,187000006437302;;1,1;78,9;2645,67;2591,43
fff30GS;42230GS;3276,4;-9999;77,2460460330657;59,04;-9999;6008,312;0,645;0,05;-0,043;19,27;61625,289;3,63;0,193000003695488;0,218999996781349;;1,1;78,8;2645,7;2591,46
fff30GS;42230GS;3276,5;-9999;77,2584923662294;61,95;-9999;6008,312;0,665;0,05;-0,041;18,94;61625,289;0,033;0,177000001072884;0,187000006437302;;1,1;78,8;2645,73;2591,49
fff30GS;42230GS;3276,6;-9999;77,2709387232221;61,81;-9999;6008,312;0,626;0,05;-0,039;19,01;61625,289;0,601;0,215000003576279;0,233999997377396;;1,1;78,8;2645,75;2591,51
fff30GS;42230GS;3276,7;-9999;77,2833851040175;62,68;-9999;6008,312;0,492;0,05;-0,043;19,34;61625,289;22260,474;0,181999996304512;0,208000004291534;;1,1;78,8;2645,78;2591,54
fff30GS;42230GS;3276,8;-9999;77,295831508589;63,48;-9999;6008,312;1,071;0,05;-0,043;19,34;61625,289;22260,227;0,202999994158745;0,208000004291534;;1,1;78,8;2645,81;2591,57
fff30GS;42230GS;3276,9;-9999;77,3082779369105;64,35;-9999;6008,312;0,758;0,05;-0,041;19,34;61625,289;1,11;0,189999997615814;0,195999994874001;;1,1;78,8;2645,83;2591,59
fff30GS;42230GS;3277;-9999;77,3207243889554;62,81;-9999;6008,312;0,716;0,049;-0,041;18,64;61625,289;0,47;0,172999992966652;0,197999998927116;;1,1;78,7;2645,86;2591,62
fff30GS;42230GS;3277,1;-9999;77,3331708646975;62,65;-9999;6008,312;0,996;0,049;-0,04;18,21;61625,289;0,077;0,180000007152557;0,184000000357628;;1,1;78,7;2645,89;2591,65
fff30GS;42230GS;3277,2;-9999;77,3456173641103;68,1;-9999;6008,312;0,521;0,05;-0,041;18,4;61625,289;22260,058;0,179000005125999;0,185000002384186;;1,1;78,7;2645,91;2591,67
fff30GS;42230GS;3277,3;-9999;77,3580638871675;67,71;-9999;6008,312;1,207;0,05;-0,04;19,03;61625,289;11,073;0,164000004529953;0,204999998211861;;1,1;78,7;2645,94;2591,7
fff30GS;42230GS;3277,4;-9999;77,3705104338429;67,2;-9999;6008,312;1,151;0,049;-0,042;19,13;61625,289;44519,973;0,190999999642372;0,18299999833107;;1,1;78,7;2645,97;2591,73
fff30GS;42230GS;3277,5;-9999;77,3829570041101;65,88;-9999;6008,312;0,527;0,05;-0,04;18,27;61625,289;22260,023;0,208000004291534;0,223000004887581;;1,1;78,6;2645,99;2591,75
fff30GS;42230GS;3277,6;-9999;77,3954035979427;66,72;-9999;6008,312;0,637;0,053;-0,04;17,52;61625,289;1,311;0,202999994158745;0,275000005960464;;1,1;78,6;2646,02;2591,78
fff30GS;42230GS;3277,7;-9999;77,4078502153145;66,02;-9999;6008,312;0,947;0,05;-0,041;17,8;61625,289;44519,973;0,172000005841255;0,194999992847443;;1,1;78,5;2646,05;2591,81
fff30GS;42230GS;3277,8;-9999;77,4202968561992;63,79;-9999;6008,312;1,072;0,05;-0,042;18,36;61625,289;0,46;0,164000004529953;0,180999994277954;;1,1;78,4;2646,06;2591,82
fff30GS;42230GS;3277,9;-9999;77,4327435205704;61,29;-9999;6008,312;0,277;0,05;-0,04;18,58;61625,289;0,191;0,193000003695488;0,184000000357628;;1,1;78,3;2646,08;2591,84
fff30GS;42230GS;3278;-9999;77,445190208402;62,18;-9999;6008,312;0,93;0,05;-0,039;18,14;61625,289;14840,21;0,202000007033348;0,195999994874001;;1,1;78,3;2646,11;2591,87
fff30GS;42230GS;3278,1;-9999;77,4576369196676;62,89;-9999;6008,312;0,568;0,049;-0,038;17,66;61625,289;0,169;0,187000006437302;0,225999996066093;;0,9;78,2;2646,14;2591,9
fff30GS;42230GS;3278,2;-9999;77,470083654341;62,19;-9999;6008,312;0,713;0,05;-0,04;17,36;61625,289;0,403;0,165999993681908;0,196999996900558;;0,9;78,1;2646,16;2591,92
fff30GS;42230GS;3278,3;-9999;77,482530412396;63,24;-9999;6008,312;0,731;0,05;-0,038;17,22;61625,289;0,494;0,168999999761581;0,230000004172325;;0,9;78;2646,19;2591,95
fff30GS;42230GS;3278,4;-9999;77,4949771938063;65,82;-9999;6008,312;0,527;0,05;-0,039;16,91;61625,289;29680,034;0,194999992847443;0,190999999642372;;0,9;77,9;2646,22;2591,98
fff30GS;42230GS;3278,5;-9999;77,5074239985456;65,19;-9999;6008,312;0,83;0,05;-0,038;16,91;61625,289;0,215;0,180000007152557;0,204999998211861;;0,9;77,9;2646,24;2592
